STATENAME,ST_CASE,VEH_NO,VIOLATION,VIOLATIONNAME
Alaska,20024,1,2,Willful reckless driving; driving to endanger; negligent driving
Alaska,20024,1,8,"Fail to give aid, info., wait for police after crash"
Alaska,20024,1,11,Driving while intoxicated (alcohol or drugs) or BAC above limit (any detectable BAC for CDLs)
Alaska,20026,1,1,Manslaughter or homicide
Alaska,20026,1,11,Driving while intoxicated (alcohol or drugs) or BAC above limit (any detectable BAC for CDLs)
Alaska,20039,1,8,"Fail to give aid, info., wait for police after crash"
Alaska,20042,1,1,Manslaughter or homicide
Alaska,20042,1,11,Driving while intoxicated (alcohol or drugs) or BAC above limit (any detectable BAC for CDLs)
Alaska,20047,1,1,Manslaughter or homicide
Alaska,20049,2,31,Fail to stop for red signal
Arizona,40009,1,49,"Turn, yield, signaling violations generally"
Arizona,40010,1,2,Willful reckless driving; driving to endanger; negligent driving
Arizona,40010,1,5,Fleeing or eluding police
Arizona,40020,1,1,Manslaughter or homicide
Arizona,40020,1,7,"Hit-and-run, fail to stop after crash"
Arizona,40032,1,95,No Driver Present/Unknown if Driver Present
Arizona,40034,1,12,Driving while impaired
Arizona,40073,1,1,Manslaughter or homicide
Arizona,40075,1,12,Driving while impaired
Arizona,40085,1,48,Enter intersection when space insufficient
Arizona,40101,1,71,Driving while license withdrawn
Arizona,40107,1,29,"Speed related violations, generally"
Arizona,40109,1,39,Fail to obey traffic control device
Arizona,40109,1,72,Other driver license violations
Arizona,40113,1,49,"Turn, yield, signaling violations generally"
Arizona,40113,1,72,Other driver license violations
Arizona,40113,1,74,Vehicle registration violations
Arizona,40118,1,9,Serious violation resulting in death
Arizona,40119,1,33,"Violation of turn on red (fail to stop & yield, yield to pedestrians before turning)"
Arizona,40131,1,46,Fail to yield generally
Arizona,40132,1,12,Driving while impaired
Arizona,40140,1,1,Manslaughter or homicide
Arizona,40140,1,9,Serious violation resulting in death
Arizona,40141,1,12,Driving while impaired
Arizona,40143,1,53,"Improper, unsafe passing"
Arizona,40147,1,1,Manslaughter or homicide
Arizona,40147,1,2,Willful reckless driving; driving to endanger; negligent driving
Arizona,40147,1,14,Drinking while operating
Arizona,40165,1,1,Manslaughter or homicide
Arizona,40167,1,1,Manslaughter or homicide
Arizona,40168,1,1,Manslaughter or homicide
Arizona,40168,1,2,Willful reckless driving; driving to endanger; negligent driving
Arizona,40173,1,1,Manslaughter or homicide
Arizona,40173,1,2,Willful reckless driving; driving to endanger; negligent driving
Arizona,40177,1,12,Driving while impaired
Arizona,40185,1,8,"Fail to give aid, info., wait for police after crash"
Arizona,40186,1,48,Enter intersection when space insufficient
Arizona,40194,1,7,"Hit-and-run, fail to stop after crash"
Arizona,40200,1,98,"Other moving violation (coasting, backing, opening door)"
Arizona,40201,1,29,"Speed related violations, generally"
Arizona,40205,1,75,Fail to carry insurance card
Arizona,40205,1,82,Brake violations
Arizona,40230,1,46,Fail to yield generally
Arizona,40230,1,72,Other driver license violations
Arizona,40230,1,74,Vehicle registration violations
Arizona,40249,1,1,Manslaughter or homicide
Arizona,40249,1,29,"Speed related violations, generally"
Arizona,40251,1,12,Driving while impaired
Arizona,40290,1,49,"Turn, yield, signaling violations generally"
Arizona,40292,1,12,Driving while impaired
Arizona,40294,1,9,Serious violation resulting in death
Arizona,40310,1,1,Manslaughter or homicide
Arizona,40310,1,8,"Fail to give aid, info., wait for police after crash"
Arizona,40329,1,1,Manslaughter or homicide
Arizona,40330,1,97,Not Reported
Arizona,40339,1,31,Fail to stop for red signal
Arizona,40340,1,26,Driving too slowly
Arizona,40340,1,76,Driving uninsured vehicle
Arizona,40343,1,42,"Improper method & position of turn (too wide, wrong lane)"
Arizona,40343,1,76,Driving uninsured vehicle
Arizona,40343,2,76,Driving uninsured vehicle
Arizona,40346,1,9,Serious violation resulting in death
Arizona,40370,1,12,Driving while impaired
Arizona,40394,1,9,Serious violation resulting in death
Arizona,40394,1,48,Enter intersection when space insufficient
Arizona,40400,4,23,Speed greater than reasonable & prudent (not necessarily over the limit)
Arizona,40404,1,9,Serious violation resulting in death
Arizona,40413,1,48,Enter intersection when space insufficient
Arizona,40443,1,76,Driving uninsured vehicle
Arizona,40447,1,23,Speed greater than reasonable & prudent (not necessarily over the limit)
Arizona,40447,1,69,"Lane violations, generally"
Arizona,40469,1,9,Serious violation resulting in death
Arizona,40475,1,9,Serious violation resulting in death
Arizona,40478,1,23,Speed greater than reasonable & prudent (not necessarily over the limit)
Arizona,40478,1,37,Fail to obey stop sign
Arizona,40481,1,11,Driving while intoxicated (alcohol or drugs) or BAC above limit (any detectable BAC for CDLs)
Arizona,40483,1,11,Driving while intoxicated (alcohol or drugs) or BAC above limit (any detectable BAC for CDLs)
Arizona,40483,1,86,"Size, weight, load violations"
Arizona,40485,1,43,Fail to signal for turn or stop
Arizona,40487,1,11,Driving while intoxicated (alcohol or drugs) or BAC above limit (any detectable BAC for CDLs)
Arizona,40494,1,72,Other driver license violations
Arizona,40502,1,46,Fail to yield generally
Arizona,40514,1,9,Serious violation resulting in death
Arizona,40519,1,1,Manslaughter or homicide
Arizona,40531,1,23,Speed greater than reasonable & prudent (not necessarily over the limit)
Arizona,40531,1,59,"Wrong side, passing, following violations, generally"
Arizona,40542,1,12,Driving while impaired
Arizona,40547,1,46,Fail to yield generally
Arizona,40580,1,1,Manslaughter or homicide
Arizona,40585,1,1,Manslaughter or homicide
Arizona,40609,1,9,Serious violation resulting in death
Arizona,40609,1,83,Failure to require restraint use (by self or passengers)
Arizona,40610,1,46,Fail to yield generally
Arizona,40613,1,9,Serious violation resulting in death
Arizona,40635,1,46,Fail to yield generally
Arizona,40645,1,98,"Other moving violation (coasting, backing, opening door)"
Arizona,40647,1,11,Driving while intoxicated (alcohol or drugs) or BAC above limit (any detectable BAC for CDLs)
Arizona,40648,1,9,Serious violation resulting in death
Arizona,40654,1,9,Serious violation resulting in death
Arizona,40657,1,46,Fail to yield generally
Arizona,40659,1,98,"Other moving violation (coasting, backing, opening door)"
Arizona,40668,1,9,Serious violation resulting in death
Arizona,40671,1,72,Other driver license violations
Arizona,40685,1,23,Speed greater than reasonable & prudent (not necessarily over the limit)
Arizona,40687,1,9,Serious violation resulting in death
Arizona,40687,1,98,"Other moving violation (coasting, backing, opening door)"
Arizona,40698,1,29,"Speed related violations, generally"
Arizona,40701,1,9,Serious violation resulting in death
Arizona,40703,1,12,Driving while impaired
Arizona,40709,1,7,"Hit-and-run, fail to stop after crash"
Arizona,40709,1,8,"Fail to give aid, info., wait for police after crash"
Arizona,40713,1,9,Serious violation resulting in death
Arizona,40715,1,7,"Hit-and-run, fail to stop after crash"
Arizona,40715,1,8,"Fail to give aid, info., wait for police after crash"
Arizona,40715,1,9,Serious violation resulting in death
Arizona,40718,1,7,"Hit-and-run, fail to stop after crash"
Arizona,40723,1,1,Manslaughter or homicide
Arizona,40723,1,2,Willful reckless driving; driving to endanger; negligent driving
Arizona,40723,1,9,Serious violation resulting in death
Arizona,40728,1,76,Driving uninsured vehicle
Arizona,40729,1,9,Serious violation resulting in death
Arizona,40730,1,7,"Hit-and-run, fail to stop after crash"
Arizona,40746,1,9,Serious violation resulting in death
Arizona,40749,1,11,Driving while intoxicated (alcohol or drugs) or BAC above limit (any detectable BAC for CDLs)
Arizona,40749,1,12,Driving while impaired
Arizona,40757,1,23,Speed greater than reasonable & prudent (not necessarily over the limit)
Arizona,40757,2,95,No Driver Present/Unknown if Driver Present
Arizona,40757,3,95,No Driver Present/Unknown if Driver Present
Arizona,40761,1,9,Serious violation resulting in death
Arizona,40761,1,46,Fail to yield generally
Arizona,40761,1,72,Other driver license violations
Arizona,40762,1,1,Manslaughter or homicide
Arizona,40766,1,71,Driving while license withdrawn
Arizona,40766,1,76,Driving uninsured vehicle
Arizona,40768,1,9,Serious violation resulting in death
Arizona,40768,1,31,Fail to stop for red signal
Arizona,40768,2,9,Serious violation resulting in death
Arizona,40768,2,31,Fail to stop for red signal
Arizona,40774,1,48,Enter intersection when space insufficient
Arizona,40778,1,71,Driving while license withdrawn
Arizona,40778,1,83,Failure to require restraint use (by self or passengers)
Arizona,40791,1,22,Speeding (above the speed limit)
Arizona,40791,1,61,Unsafe or prohibited lane change
Arizona,40791,2,72,Other driver license violations
Arizona,40810,1,1,Manslaughter or homicide
Arizona,40810,1,11,Driving while intoxicated (alcohol or drugs) or BAC above limit (any detectable BAC for CDLs)
Arizona,40817,1,9,Serious violation resulting in death
Arizona,40821,1,1,Manslaughter or homicide
Arizona,40826,1,1,Manslaughter or homicide
Arizona,40828,1,7,"Hit-and-run, fail to stop after crash"
Arizona,40845,1,23,Speed greater than reasonable & prudent (not necessarily over the limit)
Arizona,40845,1,83,Failure to require restraint use (by self or passengers)
Arizona,40865,1,1,Manslaughter or homicide
Arizona,40865,1,2,Willful reckless driving; driving to endanger; negligent driving
Arizona,40865,1,98,"Other moving violation (coasting, backing, opening door)"
Arizona,40869,1,46,Fail to yield generally
Arizona,40873,1,72,Other driver license violations
Arizona,40875,1,23,Speed greater than reasonable & prudent (not necessarily over the limit)
Arizona,40878,1,23,Speed greater than reasonable & prudent (not necessarily over the limit)
Arizona,40878,1,83,Failure to require restraint use (by self or passengers)
Arizona,40881,1,7,"Hit-and-run, fail to stop after crash"
Arizona,40907,2,11,Driving while intoxicated (alcohol or drugs) or BAC above limit (any detectable BAC for CDLs)
Arizona,40907,2,12,Driving while impaired
Arizona,40907,2,19,"Alcohol, drug, or impairment violations generally"
Arizona,40910,1,1,Manslaughter or homicide
Arizona,40910,1,15,Illegal possession of alcohol or drugs
Arizona,40910,1,98,"Other moving violation (coasting, backing, opening door)"
Arizona,40932,1,31,Fail to stop for red signal
Arizona,40932,1,76,Driving uninsured vehicle
Arizona,40939,1,72,Other driver license violations
Arizona,40939,1,76,Driving uninsured vehicle
Arizona,40941,1,10,Use of Telecommunications Device
Arizona,40944,1,97,Not Reported
Arizona,40965,1,1,Manslaughter or homicide
Arizona,40965,1,9,Serious violation resulting in death
Arizona,40965,1,12,Driving while impaired
Arizona,40969,1,1,Manslaughter or homicide
Arizona,40969,1,7,"Hit-and-run, fail to stop after crash"
Arizona,40972,1,1,Manslaughter or homicide
Arizona,40976,3,11,Driving while intoxicated (alcohol or drugs) or BAC above limit (any detectable BAC for CDLs)
Arizona,40980,1,12,Driving while impaired
Arizona,40984,1,7,"Hit-and-run, fail to stop after crash"
Arizona,40985,1,76,Driving uninsured vehicle
Arizona,40998,1,7,"Hit-and-run, fail to stop after crash"
Arizona,41008,1,11,Driving while intoxicated (alcohol or drugs) or BAC above limit (any detectable BAC for CDLs)
Arizona,41015,1,1,Manslaughter or homicide
Arizona,41019,2,95,No Driver Present/Unknown if Driver Present
Arizona,41020,1,7,"Hit-and-run, fail to stop after crash"
Arizona,41020,1,9,Serious violation resulting in death
Arizona,41030,1,97,Not Reported
Arizona,41040,1,1,Manslaughter or homicide
Arkansas,50010,1,4,"Inattentive, careless, improper driving, driving without due care"
Arkansas,50010,1,62,"Improper use of lane (enter of 3-lane road, HOV designated lane)"
Arkansas,50048,1,62,"Improper use of lane (enter of 3-lane road, HOV designated lane)"
Arkansas,50057,2,4,"Inattentive, careless, improper driving, driving without due care"
Arkansas,50087,1,72,Other driver license violations
Arkansas,50087,1,98,"Other moving violation (coasting, backing, opening door)"
Arkansas,50096,1,72,Other driver license violations
Arkansas,50098,1,4,"Inattentive, careless, improper driving, driving without due care"
Arkansas,50098,1,18,Refusal to submit to chemical test
Arkansas,50099,1,46,Fail to yield generally
Arkansas,50131,1,76,Driving uninsured vehicle
Arkansas,50142,1,61,Unsafe or prohibited lane change
Arkansas,50142,1,72,Other driver license violations
Arkansas,50142,1,76,Driving uninsured vehicle
Arkansas,50148,1,5,Fleeing or eluding police
Arkansas,50148,1,71,Driving while license withdrawn
Arkansas,50148,1,75,Fail to carry insurance card
Arkansas,50163,1,3,"Unsafe reckless (not willful, wanton reckless) driving"
Arkansas,50166,1,95,No Driver Present/Unknown if Driver Present
Arkansas,50167,1,7,"Hit-and-run, fail to stop after crash"
Arkansas,50177,1,1,Manslaughter or homicide
Arkansas,50177,1,3,"Unsafe reckless (not willful, wanton reckless) driving"
Arkansas,50177,1,11,Driving while intoxicated (alcohol or drugs) or BAC above limit (any detectable BAC for CDLs)
Arkansas,50177,3,72,Other driver license violations
Arkansas,50182,1,3,"Unsafe reckless (not willful, wanton reckless) driving"
Arkansas,50182,1,9,Serious violation resulting in death
Arkansas,50182,1,71,Driving while license withdrawn
Arkansas,50184,1,3,"Unsafe reckless (not willful, wanton reckless) driving"
Arkansas,50184,1,11,Driving while intoxicated (alcohol or drugs) or BAC above limit (any detectable BAC for CDLs)
Arkansas,50184,1,62,"Improper use of lane (enter of 3-lane road, HOV designated lane)"
Arkansas,50191,2,3,"Unsafe reckless (not willful, wanton reckless) driving"
Arkansas,50225,1,3,"Unsafe reckless (not willful, wanton reckless) driving"
Arkansas,50225,1,22,Speeding (above the speed limit)
Arkansas,50225,1,76,Driving uninsured vehicle
Arkansas,50225,1,83,Failure to require restraint use (by self or passengers)
Arkansas,50233,1,72,Other driver license violations
Arkansas,50249,1,69,"Lane violations, generally"
Arkansas,50249,1,72,Other driver license violations
Arkansas,50249,1,83,Failure to require restraint use (by self or passengers)
Arkansas,50251,1,1,Manslaughter or homicide
Arkansas,50251,1,4,"Inattentive, careless, improper driving, driving without due care"
Arkansas,50251,1,11,Driving while intoxicated (alcohol or drugs) or BAC above limit (any detectable BAC for CDLs)
Arkansas,50251,1,15,Illegal possession of alcohol or drugs
Arkansas,50251,1,71,Driving while license withdrawn
Arkansas,50251,1,83,Failure to require restraint use (by self or passengers)
Arkansas,50272,1,11,Driving while intoxicated (alcohol or drugs) or BAC above limit (any detectable BAC for CDLs)
Arkansas,50272,1,75,Fail to carry insurance card
Arkansas,50279,1,3,"Unsafe reckless (not willful, wanton reckless) driving"
Arkansas,50279,1,11,Driving while intoxicated (alcohol or drugs) or BAC above limit (any detectable BAC for CDLs)
Arkansas,50279,1,61,Unsafe or prohibited lane change
Arkansas,50279,1,74,Vehicle registration violations
Arkansas,50279,1,75,Fail to carry insurance card
Arkansas,50279,1,83,Failure to require restraint use (by self or passengers)
Arkansas,50285,1,1,Manslaughter or homicide
Arkansas,50285,1,11,Driving while intoxicated (alcohol or drugs) or BAC above limit (any detectable BAC for CDLs)
Arkansas,50285,1,71,Driving while license withdrawn
Arkansas,50292,1,69,"Lane violations, generally"
Arkansas,50299,1,75,Fail to carry insurance card
Arkansas,50300,2,1,Manslaughter or homicide
Arkansas,50300,2,4,"Inattentive, careless, improper driving, driving without due care"
Arkansas,50313,2,72,Other driver license violations
Arkansas,50313,2,76,Driving uninsured vehicle
Arkansas,50324,1,1,Manslaughter or homicide
Arkansas,50324,1,3,"Unsafe reckless (not willful, wanton reckless) driving"
Arkansas,50324,1,71,Driving while license withdrawn
Arkansas,50324,1,83,Failure to require restraint use (by self or passengers)
Arkansas,50325,2,11,Driving while intoxicated (alcohol or drugs) or BAC above limit (any detectable BAC for CDLs)
Arkansas,50329,1,1,Manslaughter or homicide
Arkansas,50329,1,11,Driving while intoxicated (alcohol or drugs) or BAC above limit (any detectable BAC for CDLs)
Arkansas,50333,1,3,"Unsafe reckless (not willful, wanton reckless) driving"
Arkansas,50333,1,11,Driving while intoxicated (alcohol or drugs) or BAC above limit (any detectable BAC for CDLs)
Arkansas,50333,1,76,Driving uninsured vehicle
Arkansas,50333,1,83,Failure to require restraint use (by self or passengers)
Arkansas,50337,1,4,"Inattentive, careless, improper driving, driving without due care"
Arkansas,50337,1,69,"Lane violations, generally"
Arkansas,50337,1,72,Other driver license violations
Arkansas,50355,1,71,Driving while license withdrawn
Arkansas,50355,2,71,Driving while license withdrawn
Arkansas,50376,1,4,"Inattentive, careless, improper driving, driving without due care"
Arkansas,50376,1,98,"Other moving violation (coasting, backing, opening door)"
Arkansas,50389,1,46,Fail to yield generally
Arkansas,50390,1,4,"Inattentive, careless, improper driving, driving without due care"
Arkansas,50390,1,39,Fail to obey traffic control device
Arkansas,50403,1,3,"Unsafe reckless (not willful, wanton reckless) driving"
Arkansas,50403,1,46,Fail to yield generally
Arkansas,50403,1,71,Driving while license withdrawn
Arkansas,50403,1,76,Driving uninsured vehicle
Arkansas,50409,1,95,No Driver Present/Unknown if Driver Present
Arkansas,50431,1,3,"Unsafe reckless (not willful, wanton reckless) driving"
Arkansas,50432,2,95,No Driver Present/Unknown if Driver Present
Arkansas,50453,1,1,Manslaughter or homicide
Arkansas,50453,1,2,Willful reckless driving; driving to endanger; negligent driving
Arkansas,50453,1,11,Driving while intoxicated (alcohol or drugs) or BAC above limit (any detectable BAC for CDLs)
Arkansas,50453,1,19,"Alcohol, drug, or impairment violations generally"
Arkansas,50453,1,39,Fail to obey traffic control device
Arkansas,50453,1,71,Driving while license withdrawn
Arkansas,50453,1,81,Lamp violations
Arkansas,50460,1,1,Manslaughter or homicide
Arkansas,50460,1,3,"Unsafe reckless (not willful, wanton reckless) driving"
Arkansas,50460,1,11,Driving while intoxicated (alcohol or drugs) or BAC above limit (any detectable BAC for CDLs)
Arkansas,50460,1,15,Illegal possession of alcohol or drugs
Arkansas,50460,1,18,Refusal to submit to chemical test
Arkansas,50460,1,22,Speeding (above the speed limit)
Arkansas,50460,1,52,"Driving on left, wrong side of road, generally"
Arkansas,50460,1,72,Other driver license violations
Arkansas,50460,1,83,Failure to require restraint use (by self or passengers)
Arkansas,50477,1,69,"Lane violations, generally"
Arkansas,50477,1,74,Vehicle registration violations
Arkansas,50477,1,76,Driving uninsured vehicle
Arkansas,50488,2,4,"Inattentive, careless, improper driving, driving without due care"
Arkansas,50495,1,3,"Unsafe reckless (not willful, wanton reckless) driving"
Arkansas,50495,1,46,Fail to yield generally
Arkansas,50495,1,71,Driving while license withdrawn
Arkansas,50508,1,7,"Hit-and-run, fail to stop after crash"
Arkansas,50510,2,1,Manslaughter or homicide
Arkansas,50510,2,11,Driving while intoxicated (alcohol or drugs) or BAC above limit (any detectable BAC for CDLs)
Arkansas,50510,2,37,Fail to obey stop sign
Arkansas,50528,1,95,No Driver Present/Unknown if Driver Present
Arkansas,50529,2,46,Fail to yield generally
Arkansas,50534,2,4,"Inattentive, careless, improper driving, driving without due care"
Arkansas,50555,1,7,"Hit-and-run, fail to stop after crash"
Arkansas,50555,1,76,Driving uninsured vehicle
Arkansas,50560,2,74,Vehicle registration violations
Arkansas,50560,2,76,Driving uninsured vehicle
Arkansas,50560,2,79,Non-moving violations generally
Arkansas,50568,2,75,Fail to carry insurance card
Arkansas,50574,1,4,"Inattentive, careless, improper driving, driving without due care"
Arkansas,50574,1,79,Non-moving violations generally
Arkansas,50578,2,46,Fail to yield generally
Arkansas,50601,1,71,Driving while license withdrawn
Arkansas,50601,2,3,"Unsafe reckless (not willful, wanton reckless) driving"
Arkansas,50601,2,62,"Improper use of lane (enter of 3-lane road, HOV designated lane)"
Arkansas,50601,2,83,Failure to require restraint use (by self or passengers)
Arkansas,50604,1,1,Manslaughter or homicide
Arkansas,50604,1,4,"Inattentive, careless, improper driving, driving without due care"
Arkansas,50604,1,7,"Hit-and-run, fail to stop after crash"
Arkansas,50604,1,12,Driving while impaired
Arkansas,50604,1,15,Illegal possession of alcohol or drugs
Arkansas,50604,1,69,"Lane violations, generally"
Arkansas,50604,1,71,Driving while license withdrawn
Arkansas,50604,1,76,Driving uninsured vehicle
Arkansas,50604,1,83,Failure to require restraint use (by self or passengers)
Arkansas,50628,1,52,"Driving on left, wrong side of road, generally"
Arkansas,50635,2,43,Fail to signal for turn or stop
Arkansas,50636,1,11,Driving while intoxicated (alcohol or drugs) or BAC above limit (any detectable BAC for CDLs)
Arkansas,50636,1,37,Fail to obey stop sign
Arkansas,50636,1,71,Driving while license withdrawn
Arkansas,50636,1,76,Driving uninsured vehicle
California,60003,1,11,Driving while intoxicated (alcohol or drugs) or BAC above limit (any detectable BAC for CDLs)
California,60008,1,11,Driving while intoxicated (alcohol or drugs) or BAC above limit (any detectable BAC for CDLs)
California,60013,1,11,Driving while intoxicated (alcohol or drugs) or BAC above limit (any detectable BAC for CDLs)
California,60013,2,95,No Driver Present/Unknown if Driver Present
California,60013,3,95,No Driver Present/Unknown if Driver Present
California,60031,1,11,Driving while intoxicated (alcohol or drugs) or BAC above limit (any detectable BAC for CDLs)
California,60033,1,11,Driving while intoxicated (alcohol or drugs) or BAC above limit (any detectable BAC for CDLs)
California,60034,1,11,Driving while intoxicated (alcohol or drugs) or BAC above limit (any detectable BAC for CDLs)
California,60035,1,11,Driving while intoxicated (alcohol or drugs) or BAC above limit (any detectable BAC for CDLs)
California,60037,1,11,Driving while intoxicated (alcohol or drugs) or BAC above limit (any detectable BAC for CDLs)
California,60043,1,11,Driving while intoxicated (alcohol or drugs) or BAC above limit (any detectable BAC for CDLs)
California,60060,1,11,Driving while intoxicated (alcohol or drugs) or BAC above limit (any detectable BAC for CDLs)
California,60061,1,11,Driving while intoxicated (alcohol or drugs) or BAC above limit (any detectable BAC for CDLs)
California,60092,1,11,Driving while intoxicated (alcohol or drugs) or BAC above limit (any detectable BAC for CDLs)
California,60098,1,11,Driving while intoxicated (alcohol or drugs) or BAC above limit (any detectable BAC for CDLs)
California,60117,1,1,Manslaughter or homicide
California,60117,1,11,Driving while intoxicated (alcohol or drugs) or BAC above limit (any detectable BAC for CDLs)
California,60122,1,11,Driving while intoxicated (alcohol or drugs) or BAC above limit (any detectable BAC for CDLs)
California,60128,2,95,No Driver Present/Unknown if Driver Present
California,60129,1,1,Manslaughter or homicide
California,60129,1,11,Driving while intoxicated (alcohol or drugs) or BAC above limit (any detectable BAC for CDLs)
California,60129,1,72,Other driver license violations
California,60132,1,1,Manslaughter or homicide
California,60132,1,11,Driving while intoxicated (alcohol or drugs) or BAC above limit (any detectable BAC for CDLs)
California,60153,1,11,Driving while intoxicated (alcohol or drugs) or BAC above limit (any detectable BAC for CDLs)
California,60160,1,7,"Hit-and-run, fail to stop after crash"
California,60190,1,11,Driving while intoxicated (alcohol or drugs) or BAC above limit (any detectable BAC for CDLs)
California,60203,1,42,"Improper method & position of turn (too wide, wrong lane)"
California,60205,2,11,Driving while intoxicated (alcohol or drugs) or BAC above limit (any detectable BAC for CDLs)
California,60229,1,95,No Driver Present/Unknown if Driver Present
California,60230,2,95,No Driver Present/Unknown if Driver Present
California,60235,1,11,Driving while intoxicated (alcohol or drugs) or BAC above limit (any detectable BAC for CDLs)
California,60236,1,11,Driving while intoxicated (alcohol or drugs) or BAC above limit (any detectable BAC for CDLs)
California,60263,1,11,Driving while intoxicated (alcohol or drugs) or BAC above limit (any detectable BAC for CDLs)
California,60264,2,11,Driving while intoxicated (alcohol or drugs) or BAC above limit (any detectable BAC for CDLs)
California,60265,1,1,Manslaughter or homicide
California,60265,1,11,Driving while intoxicated (alcohol or drugs) or BAC above limit (any detectable BAC for CDLs)
California,60278,1,95,No Driver Present/Unknown if Driver Present
California,60291,1,11,Driving while intoxicated (alcohol or drugs) or BAC above limit (any detectable BAC for CDLs)
California,60299,1,11,Driving while intoxicated (alcohol or drugs) or BAC above limit (any detectable BAC for CDLs)
California,60309,1,11,Driving while intoxicated (alcohol or drugs) or BAC above limit (any detectable BAC for CDLs)
California,60323,1,11,Driving while intoxicated (alcohol or drugs) or BAC above limit (any detectable BAC for CDLs)
California,60329,1,42,"Improper method & position of turn (too wide, wrong lane)"
California,60339,1,11,Driving while intoxicated (alcohol or drugs) or BAC above limit (any detectable BAC for CDLs)
California,60342,1,11,Driving while intoxicated (alcohol or drugs) or BAC above limit (any detectable BAC for CDLs)
California,60360,1,11,Driving while intoxicated (alcohol or drugs) or BAC above limit (any detectable BAC for CDLs)
California,60400,1,1,Manslaughter or homicide
California,60400,1,11,Driving while intoxicated (alcohol or drugs) or BAC above limit (any detectable BAC for CDLs)
California,60406,1,11,Driving while intoxicated (alcohol or drugs) or BAC above limit (any detectable BAC for CDLs)
California,60418,1,12,Driving while impaired
California,60424,2,95,No Driver Present/Unknown if Driver Present
California,60436,1,53,"Improper, unsafe passing"
California,60444,1,11,Driving while intoxicated (alcohol or drugs) or BAC above limit (any detectable BAC for CDLs)
California,60450,2,95,No Driver Present/Unknown if Driver Present
California,60451,1,11,Driving while intoxicated (alcohol or drugs) or BAC above limit (any detectable BAC for CDLs)
California,60473,1,1,Manslaughter or homicide
California,60473,1,7,"Hit-and-run, fail to stop after crash"
California,60473,1,11,Driving while intoxicated (alcohol or drugs) or BAC above limit (any detectable BAC for CDLs)
California,60497,1,11,Driving while intoxicated (alcohol or drugs) or BAC above limit (any detectable BAC for CDLs)
California,60502,2,95,No Driver Present/Unknown if Driver Present
California,60511,1,11,Driving while intoxicated (alcohol or drugs) or BAC above limit (any detectable BAC for CDLs)
